time,dcm_energy,xmu
1594424381.2950284,5523.405609252864,1150.9382690147868
1594424384.5471258,5533.407768025104,1138.1040598408417
1594424389.7438047,5543.403269239119,1163.0311101159457
1594424396.7444263,5553.407066685804,1175.4663687276777
1594424402.1990848,5563.410087283492,1164.7788849833184
1594424404.6623044,5573.4120913852,1196.0842418232876
1594424406.5586057,5583.410264117364,1183.1272464967215
1594424408.4113522,5593.408207850125,1203.4843978854558
1594424410.114754,5603.408285912359,1205.1394540518718
1594424411.9809217,5613.402486763703,1220.3805754824855
1594424413.6793947,5623.407503095651,1233.3486939978989
1594424415.343664,5633.406184042709,1249.129252739719
1594424417.3437583,5643.340305955418,1238.7605992070166
1594424419.071581,5653.705827164868,1261.5154847756885
1594424420.9626727,5663.394406326752,1275.3456153507047
1594424422.687093,5673.39285258815,1275.635014832122
1594424424.3470128,5683.402386835144,1301.1129682576097
1594424426.0739062,5693.400107876911,1314.5143207842978
1594424427.850119,5695.394497929039,1292.5984722531286
1594424429.6472325,5697.394412464497,1305.0913743844008
1594424431.4499261,5699.391794368309,1319.1172773054082
1594424433.1748006,5701.390673150458,1316.6633638004764
1594424434.8962038,5703.392397107547,1339.6974944408105
1594424436.6605227,5705.391580259957,1335.630034996933
1594424438.4409451,5707.401701911187,1342.2942637639783
1594424440.251213,5709.398490580953,1360.7776965161574
1594424441.9493384,5711.3981229303545,1374.7322834599972
1594424443.6783319,5713.399251920411,1393.6857017174214
1594424446.1367028,5713.641218392094,1413.0552960041618
1594424448.6765602,5713.889966519568,1402.2919991667757
1594424450.7442286,5714.138737780227,1391.4065792066958
1594424452.9876409,5714.390236591265,1427.1789916634486
1594424455.2186756,5714.637702046153,1397.365210649956
1594424457.1942415,5714.890600229852,1420.1960689155728
1594424459.179663,5715.142169732184,1414.3474329255857
1594424460.92207,5715.392410174901,1429.4949033137077
1594424462.5708637,5715.6413211817,1432.385966277679
1594424464.1939163,5715.892961277198,1421.21708512489
1594424465.7919428,5716.143271943192,1433.1611317110596
1594424467.3906665,5716.393606023354,1434.5784482022614
1594424469.0248568,5716.645316868302,1449.1996912747836
1594424470.63221,5716.892990965688,1444.6886320987928
1594424472.327327,5717.142041581711,1459.5315988217915
1594424473.9738007,5717.392469097348,1456.4137203044788
1594424475.6887496,5717.644273895729,1476.0734079297831
1594424477.3526978,5717.894748401604,1480.3462576881172
1594424478.9815552,5718.145246344091,1494.7484233607086
1594424480.5976794,5718.398476193754,1512.9919141813218
1594424482.2000492,5718.649021272557,1514.3604629960716
1594424483.8007936,5718.899589797642,1525.8637069254432
1594424485.4363835,5719.150181772222,1556.3438185913512
1594424487.0363574,5719.399442458477,1545.822468556386
1594424488.6523905,5719.6473714812855,1572.6835130803427
1594424490.2450795,5719.8993884364645,1569.0354972736588
