seq_num,time,motor,motor_setpoint,det
1,2017-11-02 09:04:23.562411,-1.0,-1.0,0.7024331215357544
2,2017-11-02 09:04:23.634319,-0.7777777777777778,-0.7777777777777778,0.7581871949892544
3,2017-11-02 09:04:23.643783,-0.5555555555555556,-0.5555555555555556,0.7950911855680115
4,2017-11-02 09:04:23.654044,-0.33333333333333337,-0.33333333333333337,1.0276835944960432
5,2017-11-02 09:04:23.727317,-0.11111111111111116,-0.11111111111111116,1.0136068533726097
6,2017-11-02 09:04:23.739654,0.11111111111111116,0.11111111111111116,1.0270925544250988
7,2017-11-02 09:04:23.751925,0.33333333333333326,0.33333333333333326,0.9377695687144196
8,2017-11-02 09:04:23.834641,0.5555555555555554,0.5555555555555554,0.8614753697689412
9,2017-11-02 09:04:23.844798,0.7777777777777777,0.7777777777777777,0.6911009998233435
10,2017-11-02 09:04:23.854971,1.0,1.0,0.6373723244288348
